Format,count,X,Y,Z
CSV_FORMAT_IMU,968,5.65,-5.34,153.28
CSV_FORMAT_IMU,970,5.65,-5.34,153.28
CSV_FORMAT_IMU,972,5.65,-5.34,153.28
CSV_FORMAT_IMU,974,5.65,-5.34,153.28
CSV_FORMAT_IMU,976,5.65,-5.34,153.28
CSV_FORMAT_IMU,978,5.65,-5.34,153.28
CSV_FORMAT_IMU,980,5.65,-5.34,153.28
CSV_FORMAT_IMU,982,5.65,-5.34,153.28
CSV_FORMAT_IMU,984,5.65,-5.34,153.28
CSV_FORMAT_IMU,986,5.65,-5.34,153.28
CSV_FORMAT_IMU,988,5.65,-5.34,153.28
CSV_FORMAT_IMU,990,5.65,-5.34,153.28
CSV_FORMAT_IMU,992,5.65,-5.34,153.28
CSV_FORMAT_IMU,994,5.65,-5.34,153.28
CSV_FORMAT_IMU,996,5.65,-5.34,153.28
CSV_FORMAT_IMU,998,5.65,-5.34,153.28
CSV_FORMAT_IMU,1000,5.65,-5.34,153.28
CSV_FORMAT_IMU,1002,5.65,-5.34,153.28
CSV_FORMAT_IMU,1004,5.65,-5.34,153.28
CSV_FORMAT_IMU,1006,5.65,-5.34,153.28
CSV_FORMAT_IMU,1008,5.65,-5.34,153.28
CSV_FORMAT_IMU,1010,5.65,-5.34,153.28
CSV_FORMAT_IMU,1012,5.65,-5.34,153.28
CSV_FORMAT_IMU,1014,5.65,-5.34,153.28
CSV_FORMAT_IMU,1016,5.65,-5.34,153.28
CSV_FORMAT_IMU,1018,5.65,-5.34,153.28
CSV_FORMAT_IMU,1020,5.65,-5.34,153.28
CSV_FORMAT_IMU,1022,5.65,-5.34,153.28
CSV_FORMAT_IMU,1024,5.65,-5.34,153.28
CSV_FORMAT_IMU,1026,5.65,-5.34,153.28
CSV_FORMAT_IMU,1028,5.65,-5.34,153.28
CSV_FORMAT_IMU,1030,5.65,-5.34,153.28
CSV_FORMAT_IMU,1032,5.65,-5.34,153.28
CSV_FORMAT_IMU,1034,5.65,-5.34,153.28
CSV_FORMAT_IMU,1036,5.65,-5.34,153.28
CSV_FORMAT_IMU,1038,5.65,-5.34,153.28
CSV_FORMAT_IMU,1040,5.65,-5.34,153.28
CSV_FORMAT_IMU,1042,5.65,-5.34,153.28
CSV_FORMAT_IMU,1044,5.65,-5.34,153.28
CSV_FORMAT_IMU,1046,5.65,-5.34,153.28
CSV_FORMAT_IMU,1048,5.65,-5.34,153.28
CSV_FORMAT_IMU,1050,5.65,-5.34,153.28
CSV_FORMAT_IMU,1052,5.65,-5.34,153.28
CSV_FORMAT_IMU,1054,5.65,-5.34,153.28
CSV_FORMAT_IMU,1056,5.65,-5.34,153.28
CSV_FORMAT_IMU,1058,5.65,-5.34,153.28
CSV_FORMAT_IMU,1060,5.65,-5.34,153.28
CSV_FORMAT_IMU,1062,5.65,-5.34,153.28
CSV_FORMAT_IMU,1064,5.65,-5.34,153.28
CSV_FORMAT_IMU,1066,5.65,-5.34,153.28
CSV_FORMAT_IMU,1068,5.65,-5.34,153.28
CSV_FORMAT_IMU,1070,5.65,-5.34,153.28
CSV_FORMAT_IMU,1072,5.65,-5.34,153.28
CSV_FORMAT_IMU,1074,5.65,-5.34,153.28
CSV_FORMAT_IMU,1076,5.65,-5.34,153.28
CSV_FORMAT_IMU,1078,5.65,-5.34,153.28
CSV_FORMAT_IMU,1080,5.65,-5.34,153.28
CSV_FORMAT_IMU,1082,5.65,-5.34,153.28
CSV_FORMAT_IMU,1084,5.65,-5.34,153.28
CSV_FORMAT_IMU,1086,5.65,-5.34,153.28
CSV_FORMAT_IMU,1088,5.65,-5.34,153.28
CSV_FORMAT_IMU,1090,5.65,-5.34,153.28
CSV_FORMAT_IMU,1092,5.65,-5.34,153.28
CSV_FORMAT_IMU,1094,5.65,-5.34,153.28
CSV_FORMAT_IMU,1096,5.65,-5.34,153.28
CSV_FORMAT_IMU,1098,5.65,-5.34,153.28
CSV_FORMAT_IMU,1100,5.65,-5.34,153.28
CSV_FORMAT_IMU,1102,5.65,-5.34,153.28
CSV_FORMAT_IMU,1104,5.65,-5.34,153.28
CSV_FORMAT_IMU,1106,5.65,-5.34,153.28
CSV_FORMAT_IMU,1108,5.65,-5.34,153.28
CSV_FORMAT_IMU,1110,5.65,-5.34,153.28
CSV_FORMAT_IMU,1112,5.65,-5.34,153.28
CSV_FORMAT_IMU,1114,5.65,-5.34,153.28
CSV_FORMAT_IMU,1116,5.65,-5.34,153.28
CSV_FORMAT_IMU,1118,5.65,-5.34,153.28
CSV_FORMAT_IMU,1120,5.65,-5.34,153.28
CSV_FORMAT_IMU,1122,5.65,-5.34,153.28
CSV_FORMAT_IMU,1124,5.65,-5.34,153.28
CSV_FORMAT_IMU,1126,5.65,-5.34,153.28
CSV_FORMAT_IMU,1128,5.65,-5.34,153.28
CSV_FORMAT_IMU,1130,5.65,-5.34,153.28
CSV_FORMAT_IMU,1132,5.65,-5.34,153.28
CSV_FORMAT_IMU,1134,5.65,-5.34,153.28
CSV_FORMAT_IMU,1136,5.65,-5.34,153.28
CSV_FORMAT_IMU,1138,5.65,-5.34,153.28
CSV_FORMAT_IMU,1140,5.65,-5.34,153.28
CSV_FORMAT_IMU,1142,5.65,-5.34,153.28
CSV_FORMAT_IMU,1144,5.65,-5.34,153.28
