Format,count,X,Y,Z
CSV_FORMAT_IMU,226,-11.30,88.68,106.84
CSV_FORMAT_IMU,228,-11.54,89.52,105.33
CSV_FORMAT_IMU,230,-11.75,90.35,103.86
CSV_FORMAT_IMU,232,-11.94,91.17,102.25
CSV_FORMAT_IMU,234,-12.10,91.97,100.62
CSV_FORMAT_IMU,236,-12.23,92.75,98.92
CSV_FORMAT_IMU,238,-12.33,93.53,97.00
CSV_FORMAT_IMU,240,-12.41,94.28,94.99
CSV_FORMAT_IMU,242,-12.46,95.03,92.85
CSV_FORMAT_IMU,244,-12.48,95.72,90.62
CSV_FORMAT_IMU,246,-12.47,96.35,88.33
CSV_FORMAT_IMU,248,-12.43,97.04,85.84
CSV_FORMAT_IMU,250,-12.37,97.63,83.16
CSV_FORMAT_IMU,252,-12.28,98.19,80.29
CSV_FORMAT_IMU,254,-12.17,98.74,77.39
CSV_FORMAT_IMU,256,-12.04,99.26,74.36
CSV_FORMAT_IMU,258,-11.89,99.74,71.46
CSV_FORMAT_IMU,260,-11.70,100.24,68.54
CSV_FORMAT_IMU,262,-11.49,100.73,65.59
CSV_FORMAT_IMU,264,-11.27,101.18,62.71
CSV_FORMAT_IMU,266,-11.01,101.65,59.90
CSV_FORMAT_IMU,268,-10.74,102.08,56.88
CSV_FORMAT_IMU,270,-10.43,102.51,53.91
CSV_FORMAT_IMU,272,-10.13,102.91,50.94
CSV_FORMAT_IMU,274,-9.80,103.29,48.02
CSV_FORMAT_IMU,276,-9.47,103.63,45.01
CSV_FORMAT_IMU,278,-9.10,103.97,42.02
CSV_FORMAT_IMU,280,-8.74,104.28,39.13
CSV_FORMAT_IMU,282,-8.50,104.47,37.14
CSV_FORMAT_IMU,284,-8.39,104.55,36.06
CSV_FORMAT_IMU,286,-8.37,104.56,35.75
CSV_FORMAT_IMU,288,-8.37,104.56,35.77
CSV_FORMAT_IMU,290,-8.37,104.56,35.77
CSV_FORMAT_IMU,292,-8.37,104.56,35.77
CSV_FORMAT_IMU,294,-8.37,104.56,35.77
CSV_FORMAT_IMU,296,-8.37,104.56,35.77
CSV_FORMAT_IMU,298,-8.37,104.56,35.77
CSV_FORMAT_IMU,300,-8.37,104.56,35.77
CSV_FORMAT_IMU,302,-8.37,104.56,35.77
CSV_FORMAT_IMU,304,-8.37,104.56,35.77
CSV_FORMAT_IMU,306,-8.37,104.56,35.77
CSV_FORMAT_IMU,308,-8.37,104.56,35.77
CSV_FORMAT_IMU,310,-8.37,104.56,35.77
CSV_FORMAT_IMU,312,-8.37,104.56,35.77
CSV_FORMAT_IMU,314,-8.37,104.56,35.77
CSV_FORMAT_IMU,316,-8.37,104.56,35.77
CSV_FORMAT_IMU,318,-8.37,104.56,35.77
CSV_FORMAT_IMU,320,-8.34,104.58,35.76
CSV_FORMAT_IMU,322,-8.19,104.69,35.05
CSV_FORMAT_IMU,324,-7.93,104.87,33.31
CSV_FORMAT_IMU,326,-7.56,105.10,30.91
CSV_FORMAT_IMU,328,-7.09,105.36,28.04
CSV_FORMAT_IMU,330,-6.55,105.62,24.72
CSV_FORMAT_IMU,332,-6.00,105.85,21.16
CSV_FORMAT_IMU,334,-5.38,106.06,17.52
CSV_FORMAT_IMU,336,-4.71,106.24,13.84
CSV_FORMAT_IMU,338,-3.97,106.39,10.30
CSV_FORMAT_IMU,340,-3.16,106.50,6.37
CSV_FORMAT_IMU,342,-2.32,106.57,2.82
CSV_FORMAT_IMU,344,-1.44,106.57,-0.71
CSV_FORMAT_IMU,346,-0.56,106.53,-4.14
CSV_FORMAT_IMU,348,0.35,106.43,-7.59
CSV_FORMAT_IMU,350,1.21,106.28,-10.97
CSV_FORMAT_IMU,352,2.04,106.09,-14.41
CSV_FORMAT_IMU,354,2.97,105.81,-17.67
CSV_FORMAT_IMU,356,3.93,105.49,-18.79
CSV_FORMAT_IMU,358,4.94,105.15,-18.62
CSV_FORMAT_IMU,360,6.07,104.78,-17.84
CSV_FORMAT_IMU,362,7.15,104.45,-16.62
CSV_FORMAT_IMU,364,8.27,104.13,-15.41
CSV_FORMAT_IMU,366,9.40,103.83,-14.25
CSV_FORMAT_IMU,368,10.59,103.55,-13.00
CSV_FORMAT_IMU,370,11.76,103.30,-11.22
CSV_FORMAT_IMU,372,12.96,103.08,-9.45
CSV_FORMAT_IMU,374,14.27,102.90,-7.43
CSV_FORMAT_IMU,376,15.52,102.76,-5.51
CSV_FORMAT_IMU,378,16.89,102.66,-3.45
CSV_FORMAT_IMU,380,18.18,102.60,-1.59
CSV_FORMAT_IMU,382,19.53,102.60,0.62
CSV_FORMAT_IMU,384,20.85,102.65,3.01
CSV_FORMAT_IMU,386,22.20,102.75,5.06
CSV_FORMAT_IMU,388,23.60,102.90,6.50
CSV_FORMAT_IMU,390,24.98,103.06,6.65
CSV_FORMAT_IMU,392,26.44,103.22,6.21
CSV_FORMAT_IMU,394,27.85,103.37,5.41
CSV_FORMAT_IMU,396,29.26,103.48,4.24
CSV_FORMAT_IMU,398,30.64,103.56,2.90
CSV_FORMAT_IMU,400,31.99,103.61,1.36
CSV_FORMAT_IMU,402,33.34,103.62,-0.16
CSV_FORMAT_IMU,404,34.69,103.59,-1.90
CSV_FORMAT_IMU,406,36.01,103.53,-3.51
CSV_FORMAT_IMU,408,37.32,103.42,-5.37
CSV_FORMAT_IMU,410,38.60,103.27,-6.92
CSV_FORMAT_IMU,412,39.88,103.10,-8.36
CSV_FORMAT_IMU,414,41.21,102.88,-9.91
CSV_FORMAT_IMU,416,42.48,102.64,-11.62
CSV_FORMAT_IMU,418,43.80,102.34,-13.22
CSV_FORMAT_IMU,420,45.11,102.01,-14.66
CSV_FORMAT_IMU,422,46.50,101.64,-15.03
CSV_FORMAT_IMU,424,47.87,101.28,-14.32
CSV_FORMAT_IMU,426,49.27,100.94,-13.20
CSV_FORMAT_IMU,428,50.68,100.63,-11.91
CSV_FORMAT_IMU,430,52.13,100.34,-10.54
CSV_FORMAT_IMU,432,53.56,100.11,-8.82
CSV_FORMAT_IMU,434,54.99,99.91,-7.11
CSV_FORMAT_IMU,436,56.46,99.76,-5.19
CSV_FORMAT_IMU,438,57.90,99.65,-3.52
CSV_FORMAT_IMU,440,59.31,99.60,-1.65
CSV_FORMAT_IMU,442,60.73,99.59,0.35
CSV_FORMAT_IMU,444,62.20,99.63,2.38
CSV_FORMAT_IMU,446,63.58,99.72,4.39
CSV_FORMAT_IMU,448,65.05,99.86,6.39
CSV_FORMAT_IMU,450,66.48,100.05,8.46
CSV_FORMAT_IMU,452,67.94,100.31,10.56
CSV_FORMAT_IMU,454,69.32,100.59,12.07
CSV_FORMAT_IMU,456,70.64,100.88,12.69
CSV_FORMAT_IMU,458,71.99,101.18,12.52
CSV_FORMAT_IMU,460,73.28,101.46,11.94
CSV_FORMAT_IMU,462,74.54,101.72,11.22
CSV_FORMAT_IMU,464,75.75,101.95,10.23
CSV_FORMAT_IMU,466,76.92,102.15,9.20
CSV_FORMAT_IMU,468,78.07,102.32,8.09
CSV_FORMAT_IMU,470,79.23,102.47,6.98
CSV_FORMAT_IMU,472,80.29,102.58,5.84
CSV_FORMAT_IMU,474,81.35,102.68,4.80
CSV_FORMAT_IMU,476,82.45,102.76,3.67
CSV_FORMAT_IMU,478,83.48,102.81,2.44
CSV_FORMAT_IMU,480,84.52,102.84,1.20
CSV_FORMAT_IMU,482,85.49,102.85,-0.04
CSV_FORMAT_IMU,484,86.50,102.84,-1.39
CSV_FORMAT_IMU,486,87.47,102.80,-2.67
CSV_FORMAT_IMU,488,88.41,102.74,-4.11
CSV_FORMAT_IMU,490,89.35,102.66,-5.67
CSV_FORMAT_IMU,492,90.26,102.55,-7.10
CSV_FORMAT_IMU,494,91.13,102.43,-8.81
CSV_FORMAT_IMU,496,91.90,102.29,-10.31
CSV_FORMAT_IMU,498,92.49,102.18,-10.97
CSV_FORMAT_IMU,500,92.92,102.10,-11.61
CSV_FORMAT_IMU,502,93.20,102.04,-11.48
CSV_FORMAT_IMU,504,93.44,101.99,-11.43
CSV_FORMAT_IMU,506,93.81,101.91,-12.00
CSV_FORMAT_IMU,508,94.21,101.82,-12.89
CSV_FORMAT_IMU,510,94.70,101.71,-13.94
CSV_FORMAT_IMU,512,95.25,101.56,-15.30
CSV_FORMAT_IMU,514,95.85,101.38,-16.98
CSV_FORMAT_IMU,516,96.48,101.18,-18.46
CSV_FORMAT_IMU,518,97.13,100.95,-20.18
CSV_FORMAT_IMU,520,97.86,100.66,-21.98
CSV_FORMAT_IMU,522,98.64,100.33,-24.00
CSV_FORMAT_IMU,524,99.49,99.93,-26.03
CSV_FORMAT_IMU,526,100.38,99.47,-28.05
CSV_FORMAT_IMU,528,101.32,98.94,-30.05
CSV_FORMAT_IMU,530,102.23,98.39,-31.98
CSV_FORMAT_IMU,532,103.17,97.77,-33.94
CSV_FORMAT_IMU,534,104.12,97.10,-35.99
CSV_FORMAT_IMU,536,105.02,96.41,-38.12
CSV_FORMAT_IMU,538,105.92,95.68,-39.93
CSV_FORMAT_IMU,540,106.80,94.92,-41.74
CSV_FORMAT_IMU,542,107.65,94.12,-43.64
CSV_FORMAT_IMU,544,108.48,93.30,-45.59
CSV_FORMAT_IMU,546,109.34,92.39,-47.51
CSV_FORMAT_IMU,548,110.10,91.51,-49.63
CSV_FORMAT_IMU,550,110.85,90.59,-51.76
CSV_FORMAT_IMU,552,111.57,89.63,-53.74
CSV_FORMAT_IMU,554,112.26,88.65,-55.75
CSV_FORMAT_IMU,556,112.92,87.63,-57.65
CSV_FORMAT_IMU,558,113.52,86.63,-59.79
CSV_FORMAT_IMU,560,114.10,85.59,-61.63
CSV_FORMAT_IMU,562,114.66,84.50,-63.48
CSV_FORMAT_IMU,564,115.16,83.45,-65.43
CSV_FORMAT_IMU,566,115.66,82.30,-67.12
CSV_FORMAT_IMU,568,116.10,81.19,-68.85
CSV_FORMAT_IMU,570,116.54,79.98,-70.77
CSV_FORMAT_IMU,572,116.92,78.81,-72.66
CSV_FORMAT_IMU,574,117.27,77.64,-74.37
CSV_FORMAT_IMU,576,117.60,76.36,-76.04
CSV_FORMAT_IMU,578,117.88,75.10,-77.94
CSV_FORMAT_IMU,580,118.12,73.87,-79.62
CSV_FORMAT_IMU,582,118.34,72.57,-81.21
CSV_FORMAT_IMU,584,118.52,71.26,-82.89
CSV_FORMAT_IMU,586,118.66,69.95,-84.58
CSV_FORMAT_IMU,588,118.75,68.69,-86.60
CSV_FORMAT_IMU,590,118.80,67.41,-88.21
CSV_FORMAT_IMU,592,118.81,66.09,-89.97
CSV_FORMAT_IMU,594,118.79,64.83,-91.80
CSV_FORMAT_IMU,596,118.73,63.58,-93.78
CSV_FORMAT_IMU,598,118.61,62.33,-96.05
CSV_FORMAT_IMU,600,118.46,61.14,-98.46
CSV_FORMAT_IMU,602,118.25,60.00,-101.07
CSV_FORMAT_IMU,604,118.01,58.93,-103.83
CSV_FORMAT_IMU,606,117.71,57.87,-106.48
CSV_FORMAT_IMU,608,117.39,56.88,-109.18
CSV_FORMAT_IMU,610,117.01,55.88,-111.91
CSV_FORMAT_IMU,612,116.60,54.93,-114.54
CSV_FORMAT_IMU,614,116.12,53.97,-117.38
CSV_FORMAT_IMU,616,115.62,53.07,-120.16
CSV_FORMAT_IMU,618,115.06,52.16,-122.75
CSV_FORMAT_IMU,620,114.40,51.17,-123.60
CSV_FORMAT_IMU,622,113.76,50.20,-123.39
CSV_FORMAT_IMU,624,113.06,49.11,-122.40
CSV_FORMAT_IMU,626,112.37,47.99,-120.68
CSV_FORMAT_IMU,628,111.69,46.79,-119.11
CSV_FORMAT_IMU,630,111.07,45.62,-117.22
CSV_FORMAT_IMU,632,110.46,44.38,-115.45
CSV_FORMAT_IMU,634,109.92,43.18,-113.46
CSV_FORMAT_IMU,636,109.41,41.93,-111.70
CSV_FORMAT_IMU,638,108.91,40.60,-109.76
CSV_FORMAT_IMU,640,108.47,39.29,-107.88
CSV_FORMAT_IMU,642,108.07,37.94,-106.02
CSV_FORMAT_IMU,644,107.69,36.54,-104.10
CSV_FORMAT_IMU,646,107.38,35.16,-102.08
CSV_FORMAT_IMU,648,107.11,33.74,-100.00
CSV_FORMAT_IMU,650,106.90,32.35,-98.04
CSV_FORMAT_IMU,652,106.73,31.04,-96.52
CSV_FORMAT_IMU,654,106.60,29.72,-95.73
CSV_FORMAT_IMU,656,106.48,28.47,-95.43
CSV_FORMAT_IMU,658,106.36,27.32,-95.53
CSV_FORMAT_IMU,660,106.25,26.19,-95.65
CSV_FORMAT_IMU,662,106.15,25.13,-95.94
CSV_FORMAT_IMU,664,106.03,24.07,-96.26
CSV_FORMAT_IMU,666,105.92,23.10,-96.53
CSV_FORMAT_IMU,668,105.81,22.13,-96.79
CSV_FORMAT_IMU,670,105.69,21.16,-96.95
CSV_FORMAT_IMU,672,105.58,20.29,-97.14
CSV_FORMAT_IMU,674,105.47,19.39,-97.27
CSV_FORMAT_IMU,676,105.36,18.55,-97.39
CSV_FORMAT_IMU,678,105.25,17.71,-97.52
CSV_FORMAT_IMU,680,105.14,16.90,-97.74
CSV_FORMAT_IMU,682,105.03,16.09,-97.90
CSV_FORMAT_IMU,684,104.92,15.28,-98.24
CSV_FORMAT_IMU,686,104.80,14.50,-99.01
CSV_FORMAT_IMU,688,104.66,13.67,-100.00
CSV_FORMAT_IMU,690,104.51,12.86,-101.06
CSV_FORMAT_IMU,692,104.33,12.03,-102.20
CSV_FORMAT_IMU,694,104.16,11.27,-103.34
CSV_FORMAT_IMU,696,103.96,10.48,-104.78
CSV_FORMAT_IMU,698,103.75,9.75,-105.92
CSV_FORMAT_IMU,700,103.51,8.94,-107.09
CSV_FORMAT_IMU,702,103.28,8.22,-108.51
CSV_FORMAT_IMU,704,103.10,7.68,-109.09
CSV_FORMAT_IMU,706,102.97,7.33,-109.37
CSV_FORMAT_IMU,708,102.91,7.15,-109.35
CSV_FORMAT_IMU,710,102.84,6.94,-109.32
CSV_FORMAT_IMU,712,102.73,6.65,-109.90
CSV_FORMAT_IMU,714,102.58,6.23,-110.80
CSV_FORMAT_IMU,716,102.40,5.80,-111.99
CSV_FORMAT_IMU,718,102.15,5.19,-113.31
CSV_FORMAT_IMU,720,101.85,4.53,-114.81
CSV_FORMAT_IMU,722,101.49,3.80,-116.69
CSV_FORMAT_IMU,724,101.07,2.99,-118.67
CSV_FORMAT_IMU,726,100.61,2.20,-120.78
CSV_FORMAT_IMU,728,100.08,1.35,-122.81
CSV_FORMAT_IMU,730,99.48,0.46,-124.67
CSV_FORMAT_IMU,732,98.85,-0.40,-126.77
CSV_FORMAT_IMU,734,98.16,-1.29,-128.73
CSV_FORMAT_IMU,736,97.43,-2.16,-130.74
CSV_FORMAT_IMU,738,96.65,-3.02,-132.68
CSV_FORMAT_IMU,740,95.85,-3.86,-134.71
CSV_FORMAT_IMU,742,94.97,-4.71,-136.49
CSV_FORMAT_IMU,744,94.06,-5.54,-138.40
CSV_FORMAT_IMU,746,93.10,-6.35,-140.55
CSV_FORMAT_IMU,748,92.14,-7.11,-142.61
CSV_FORMAT_IMU,750,91.15,-7.83,-144.48
CSV_FORMAT_IMU,752,90.11,-8.54,-146.41
CSV_FORMAT_IMU,754,89.10,-9.18,-148.47
CSV_FORMAT_IMU,756,88.13,-9.75,-150.72
CSV_FORMAT_IMU,758,87.12,-10.27,-153.19
CSV_FORMAT_IMU,760,86.16,-10.73,-155.79
CSV_FORMAT_IMU,762,85.20,-11.12,-158.62
CSV_FORMAT_IMU,764,84.22,-11.47,-161.57
CSV_FORMAT_IMU,766,83.23,-11.76,-164.72
CSV_FORMAT_IMU,768,82.28,-11.98,-168.07
CSV_FORMAT_IMU,770,81.38,-12.14,-171.62
CSV_FORMAT_IMU,772,80.48,-12.24,-175.27
CSV_FORMAT_IMU,774,79.63,-12.27,-179.04
CSV_FORMAT_IMU,776,78.85,-12.25,176.93
CSV_FORMAT_IMU,778,78.06,-12.17,172.33
CSV_FORMAT_IMU,780,77.32,-12.03,167.98
CSV_FORMAT_IMU,782,76.62,-11.85,163.69
CSV_FORMAT_IMU,784,75.91,-11.61,160.50
CSV_FORMAT_IMU,786,75.17,-11.34,158.69
CSV_FORMAT_IMU,788,74.47,-11.06,157.94
CSV_FORMAT_IMU,790,73.72,-10.75,157.78
CSV_FORMAT_IMU,792,72.93,-10.43,158.01
CSV_FORMAT_IMU,794,72.17,-10.12,158.32
CSV_FORMAT_IMU,796,71.35,-9.80,158.66
CSV_FORMAT_IMU,798,70.50,-9.47,158.99
CSV_FORMAT_IMU,800,69.68,-9.16,159.32
CSV_FORMAT_IMU,802,68.77,-8.82,159.93
CSV_FORMAT_IMU,804,67.79,-8.47,160.37
CSV_FORMAT_IMU,806,66.81,-8.13,161.20
CSV_FORMAT_IMU,808,65.80,-7.80,162.03
CSV_FORMAT_IMU,810,64.75,-7.47,162.80
CSV_FORMAT_IMU,812,63.70,-7.15,163.51
CSV_FORMAT_IMU,814,62.64,-6.84,164.13
CSV_FORMAT_IMU,816,61.49,-6.52,164.76
CSV_FORMAT_IMU,818,60.34,-6.22,165.99
CSV_FORMAT_IMU,820,59.08,-5.93,167.45
CSV_FORMAT_IMU,822,57.85,-5.68,168.93
CSV_FORMAT_IMU,824,56.52,-5.45,170.70
CSV_FORMAT_IMU,826,55.25,-5.26,172.37
CSV_FORMAT_IMU,828,53.87,-5.10,174.16
CSV_FORMAT_IMU,830,52.49,-4.99,176.07
CSV_FORMAT_IMU,832,51.15,-4.93,178.18
CSV_FORMAT_IMU,834,49.76,-4.92,-179.83
CSV_FORMAT_IMU,836,48.38,-4.95,-177.87
CSV_FORMAT_IMU,838,46.94,-5.04,-175.95
CSV_FORMAT_IMU,840,45.53,-5.17,-173.85
CSV_FORMAT_IMU,842,44.16,-5.35,-171.75
CSV_FORMAT_IMU,844,42.77,-5.58,-169.70
CSV_FORMAT_IMU,846,41.35,-5.87,-167.77
CSV_FORMAT_IMU,848,40.01,-6.19,-165.77
CSV_FORMAT_IMU,850,38.67,-6.55,-164.34
CSV_FORMAT_IMU,852,37.37,-6.92,-164.19
CSV_FORMAT_IMU,854,36.10,-7.28,-164.65
CSV_FORMAT_IMU,856,34.89,-7.60,-165.48
CSV_FORMAT_IMU,858,33.70,-7.89,-166.51
CSV_FORMAT_IMU,860,32.60,-8.14,-167.55
CSV_FORMAT_IMU,862,31.49,-8.38,-168.58
CSV_FORMAT_IMU,864,30.44,-8.57,-169.77
CSV_FORMAT_IMU,866,29.39,-8.75,-170.97
CSV_FORMAT_IMU,868,28.36,-8.90,-172.26
CSV_FORMAT_IMU,870,27.36,-9.02,-173.64
CSV_FORMAT_IMU,872,26.36,-9.12,-175.03
CSV_FORMAT_IMU,874,25.39,-9.18,-176.48
